,Team,Last 10 Rating,Strength of Schedule,Shooting %,Effective Field Goal %,Three Point %,Two Point %,Free Throw %,FT Attempted per FG Attempted,Turnovers Per Possession,True Shooting %,Offensive Rebounding %,Defensive Rebounding %,Total Rebounding %,Block %,Steal %,Assist/Turnover Ratio,Defensive Efficiency,Effective Possesion Ratio,Win %,Win % Close Games,Possessions Per Game,Year
0,Florida,0.9999999999999999,0.9312977099236641,1.0,1.0,0.8546511627906976,0.9476190476190476,0.55868544600939,0.5078369905956113,0.4186046511627908,0.9512195121951215,0.73568281938326,0.8706467661691542,0.947019867549669,0.5413533834586466,0.488095238095238,0.6559454191033138,-0.19063545150501682,0.583333333333333,0.8953880764904387,0.6,0.34635416666666674,2007
1,North Carolina,0.9417670682730923,1.0,0.875,0.7837837837837838,0.627906976744186,0.8047619047619048,0.6525821596244135,0.4702194357366771,0.2790697674418605,0.7831978319783195,0.8634361233480176,0.7910447761194024,0.927152317880795,0.46616541353383456,0.5714285714285715,0.8499025341130604,-0.15719063545150513,0.7999999999999998,0.889763779527559,0.25,0.5442708333333335,2007
2,Arizona,0.8875502008032128,0.9122137404580153,0.7784090909090908,0.7189189189189187,0.5348837209302324,0.7666666666666668,0.8450704225352115,0.5799373040752349,0.33333333333333326,0.7804878048780486,0.8017621145374451,0.7064676616915424,0.8543046357615895,0.24060150375939848,0.2857142857142857,0.6900584795321636,-0.612040133779264,0.6999999999999993,0.7086614173228347,0.286,0.40885416666666674,2007
3,Ohio St,0.8815261044176707,0.9083969465648856,0.7272727272727275,0.7729729729729726,0.6453488372093024,0.7714285714285711,0.619718309859155,0.3510971786833854,0.2558139534883721,0.7533875338753382,0.6696035242290749,0.7263681592039797,0.7350993377483439,0.6466165413533834,0.4404761904761906,0.8021442495126705,-0.21739130434782616,0.7333333333333325,0.9673790776152981,0.8,0.3046875000000002,2007
4,Duke,0.8755020080321285,0.9465648854961832,0.6875,0.6594594594594594,0.7441860465116281,0.5904761904761904,0.60093896713615,0.5109717868338559,0.5813953488372094,0.6720867208672083,0.6916299559471367,0.7910447761194024,0.8609271523178808,0.556390977443609,0.5714285714285715,0.391812865497076,-0.14715719063545185,0.47777777777777786,0.782902137232846,0.5,0.32291666666666696,2007
5,UCLA,0.8714859437751004,0.9007633587786259,0.7954545454545454,0.7891891891891891,0.703488372093023,0.7666666666666668,0.45070422535211296,0.2695924764890283,0.2790697674418605,0.7344173441734414,0.6916299559471367,0.8208955223880596,0.8079470198675494,0.3383458646616541,0.6071428571428571,0.7309941520467835,-0.2474916387959869,0.7333333333333325,0.9583802024746907,0.75,0.28385416666666696,2007
6,UConn,0.857429718875502,0.7824427480916032,0.44886363636363624,0.3513513513513513,0.4186046511627908,0.3809523809523807,0.3098591549295775,0.7304075235109717,0.4806201550387599,0.38211382113821113,0.9779735682819385,0.6716417910447761,0.8874172185430464,1.0,0.47619047619047616,0.3723196881091618,-0.12709030100334484,0.8999999999999995,0.6175478065241845,0.0,0.3984375,2007
7,Maryland,0.8534136546184738,0.9389312977099236,0.7556818181818183,0.6864864864864866,0.7848837209302324,0.623809523809524,0.6525821596244135,0.49529780564263315,0.4806201550387599,0.7046070460704605,0.6696035242290749,0.4427860696517407,0.6158940397350992,0.6992481203007519,0.3928571428571429,0.594541910331384,-0.1939799331103682,0.5166666666666657,0.8211473565804275,0.5,0.5234375000000002,2007
8,Villanova,0.8514056224899598,0.9083969465648856,0.44318181818181834,0.4972972972972971,0.569767441860465,0.4285714285714286,0.995305164319249,0.5078369905956113,0.43410852713178305,0.6124661246612462,0.8678414096916299,0.7014925373134324,0.76158940397351,0.3458646616541353,0.6547619047619048,0.44736842105263147,-0.3712374581939799,0.7777777777777777,0.7221597300337459,0.429,0.3203125,2007
9,Oregon,0.8493975903614458,0.8129770992366412,0.5284090909090908,0.6270270270270268,0.6569767441860466,0.533333333333333,0.9061032863849765,0.30721003134796243,0.2480620155038762,0.6720867208672083,0.7136563876651983,0.6766169154228852,0.7284768211920531,0.17293233082706766,0.488095238095238,0.6296296296296295,-0.4247491638795986,0.7999999999999998,0.8121484814398201,0.636,0.3750000000000002,2007
