,Team,Offensive Efficiency,Effective Field Goal %,True Shooting %,Total Rebounding %,Block %,Assist/Turnover Ratio,Defensive Efficiency,Win %,Last 10 Rating,Strength of Schedule,Year
0,Missouri,1.0,0.9319371727748691,0.968571428571428,0.5251798561151078,0.24999999999999992,0.953549517966696,-0.3774193548387097,0.8930481283422461,0.8046218487394958,0.9198473282442747,2012
1,Belmont,0.9661458333333326,0.8638743455497382,0.8799999999999999,0.6402877697841727,0.15441176470588233,0.880806310254163,-0.3645161290322583,0.7935828877005349,0.8382352941176471,0.6793893129770991,2012
2,Creighton,0.9635416666666665,1.0,1.0,0.7985611510791366,0.1617647058823529,0.8781770376862401,-0.5258064516129028,0.8566844919786096,0.6428571428571429,0.748091603053435,2012
3,Kentucky,0.927083333333333,0.7643979057591621,0.7857142857142856,0.8633093525179856,0.9999999999999998,0.6196319018404908,-0.06129032258064537,0.9989304812834225,1.0,0.9236641221374045,2012
4,Iona,0.9244791666666661,0.9162303664921465,0.8771428571428568,0.5467625899280573,0.13970588235294115,0.9912357581069238,-0.4741935483870967,0.8213903743315509,0.6890756302521008,0.6374045801526717,2012
5,Florida,0.9036458333333326,0.837696335078534,0.8085714285714283,0.6546762589928052,0.32352941176470584,0.7607361963190185,-0.3741935483870966,0.7497326203208556,0.7394957983193278,0.8778625954198471,2012
6,S Dakota St,0.8984374999999996,0.7696335078534031,0.7914285714285709,0.5611510791366907,0.12499999999999997,0.8001752848378616,-0.48064516129032286,0.7775401069518717,0.6911764705882353,0.5687022900763358,2012
7,Indiana,0.895833333333333,0.8219895287958114,0.8942857142857141,0.7122302158273381,0.33823529411764697,0.5354951796669588,-0.3451612903225807,0.7860962566844921,0.8298319327731093,0.9541984732824426,2012
8,Duke,0.880208333333333,0.7696335078534031,0.7857142857142856,0.6690647482014387,0.38235294117647056,0.511831726555653,-0.4161290322580644,0.8930481283422461,0.8046218487394958,0.9351145038167937,2012
9,St Marys,0.8697916666666665,0.738219895287958,0.7599999999999998,0.8705035971223021,0.30147058823529405,0.7563540753724802,-0.3258064516129031,0.8438502673796792,0.6428571428571429,0.6603053435114503,2012
10,Wichita St,0.8671875,0.8062827225130889,0.8342857142857136,0.8201438848920866,0.38235294117647056,0.7134092900964066,-0.21612903225806468,0.8877005347593584,0.8613445378151261,0.782442748091603,2012
11,Syracuse,0.8619791666666665,0.6858638743455496,0.6485714285714281,0.4460431654676258,0.8308823529411763,0.9807186678352322,-0.15161290322580667,1.0,0.8382352941176471,0.8778625954198471,2012
12,Oral Roberts,0.8463541666666665,0.7853403141361257,0.8399999999999994,0.7266187050359711,0.2205882352941176,0.544259421560035,-0.49032258064516165,0.8631016042780749,0.5609243697478992,0.5916030534351144,2012
13,Oakland,0.8359375,0.7277486910994764,0.7657142857142856,0.4532374100719423,0.14705882352941177,0.539877300613497,-0.8129032258064521,0.5358288770053476,0.5651260504201681,0.564885496183206,2012
