,Team,Strength of Schedule,Year
0,Michigan St,0.9999999999999999,2012
1,Kansas,0.9961832061068701,2012
2,Ohio St,0.9809160305343511,2012
3,Wisconsin,0.9580152671755724,2012
4,Indiana,0.9541984732824426,2012
5,North Carolina,0.9427480916030533,2012
6,Duke,0.9351145038167937,2012
7,Michigan,0.9274809160305342,2012
8,Kentucky,0.9236641221374045,2012
9,Missouri,0.9198473282442747,2012
10,Baylor,0.9122137404580151,2012
11,Kansas St,0.9007633587786258,2012
12,Purdue,0.8854961832061068,2012
13,Georgetown,0.881679389312977,2012
14,Florida,0.8778625954198471,2012
15,Marquette,0.8778625954198471,2012
16,Syracuse,0.8778625954198471,2012
17,Texas,0.8740458015267174,2012
18,Vanderbilt,0.8702290076335877,2012
19,UConn,0.8625954198473281,2012
20,Northwestern,0.8587786259541983,2012
21,Florida St,0.8549618320610686,2012
22,Illinois,0.8511450381679388,2012
23,Notre Dame,0.8511450381679388,2012
24,Iowa St,0.8435114503816792,2012
25,Louisville,0.8435114503816792,2012
26,West Virginia,0.8396946564885495,2012
27,Oklahoma St,0.8358778625954197,2012
28,Villanova,0.83206106870229,2012
29,Alabama,0.83206106870229,2012
30,Minnesota,0.8282442748091603,2012
31,Miami,0.8244274809160304,2012
32,Virginia,0.8167938931297709,2012
33,Temple,0.8129770992366412,2012
34,Oklahoma,0.8091603053435114,2012
35,Seton Hall,0.8091603053435114,2012
36,S Florida,0.8053435114503815,2012
37,Memphis,0.8053435114503815,2012
38,Tennessee,0.8015267175572518,2012
39,Pittsburgh,0.7977099236641221,2012
40,UNLV,0.7900763358778625,2012
41,Virginia Tech,0.7900763358778625,2012
42,Cincinnati,0.7900763358778625,2012
43,NC State,0.7862595419847327,2012
44,Iowa,0.7862595419847327,2012
45,Georgia,0.7862595419847327,2012
46,Xavier,0.7862595419847327,2012
47,Wichita St,0.782442748091603,2012
48,Rutgers,0.7786259541984732,2012
49,Nebraska,0.7748091603053434,2012
50,Saint Joseph's,0.7671755725190839,2012
51,Mississippi,0.7633587786259541,2012
52,Penn St,0.7633587786259541,2012
53,California,0.7557251908396946,2012
54,LSU,0.7519083969465647,2012
55,Creighton,0.748091603053435,2012
56,UCLA,0.748091603053435,2012
57,Arizona,0.748091603053435,2012
58,Saint Louis,0.7442748091603053,2012
59,Dayton,0.7404580152671755,2012
60,Mississippi St,0.7404580152671755,2012
61,St John's,0.7366412213740456,2012
62,New Mexico,0.7328244274809159,2012
63,Oregon,0.7290076335877862,2012
64,Colorado St,0.7290076335877862,2012
65,Washington,0.7290076335877862,2012
66,Providence,0.7290076335877862,2012
67,Marshall,0.7290076335877862,2012
68,N Iowa,0.7251908396946564,2012
69,Texas A&M,0.7213740458015266,2012
70,Missouri St,0.7213740458015266,2012
71,Richmond,0.7175572519083968,2012
72,Maryland,0.7175572519083968,2012
73,Georgia Tech,0.7137404580152671,2012
74,St Bonaventure,0.7099236641221374,2012
75,San Diego St,0.7099236641221374,2012
76,Long Beach St,0.7099236641221374,2012
77,Gonzaga,0.7099236641221374,2012
78,UAB,0.7022900763358777,2012
79,Clemson,0.7022900763358777,2012
80,Stanford,0.7022900763358777,2012
81,South Carolina,0.7022900763358777,2012
82,La Salle,0.7022900763358777,2012
83,Duquesne,0.7022900763358777,2012
84,USC,0.698473282442748,2012
85,UMass,0.698473282442748,2012
86,Oregon St,0.6870229007633587,2012
87,Belmont,0.6793893129770991,2012
88,Colorado,0.6793893129770991,2012
89,BYU,0.6793893129770991,2012
90,Charlotte,0.6755725190839694,2012
91,G Washington,0.6755725190839694,2012
92,Arkansas,0.6755725190839694,2012
93,Tulsa,0.6717557251908396,2012
94,Southern Miss,0.6717557251908396,2012
95,Texas Tech,0.6679389312977098,2012
96,Akron,0.6679389312977098,2012
97,Auburn,0.6679389312977098,2012
98,TCU,0.66412213740458,2012
99,Buffalo,0.66412213740458,2012
100,DePaul,0.6603053435114503,2012
101,Saint Mary's,0.6603053435114503,2012
102,Drake,0.6603053435114503,2012
103,Wake Forest,0.6603053435114503,2012
104,Washington St,0.6526717557251908,2012
105,Rhode Island,0.6488549618320609,2012
106,Evansville,0.6488549618320609,2012
107,Boise St,0.6488549618320609,2012
108,VCU,0.6450381679389312,2012
109,Indiana St,0.6450381679389312,2012
110,UTEP,0.6450381679389312,2012
111,UCF,0.6412213740458015,2012
112,Iona,0.6374045801526717,2012
113,Old Dominion,0.6335877862595419,2012
114,Illinois St,0.6297709923664121,2012
115,Middle Tenn,0.6259541984732824,2012
116,Davidson,0.6259541984732824,2012
117,Cleveland St,0.6221374045801527,2012
118,Penn,0.6183206106870228,2012
119,Boston College,0.6183206106870228,2012
120,Princeton,0.614503816793893,2012
