,Unnamed: 0,Team 1,Team 2,Winner,Year
0,0,Arkansas,Iowa,Arkansas,1985
1,1,Auburn,Purdue,Auburn,1985
2,2,Georgetown,Lehigh,Georgetown,1985
3,3,Illinois St,USC,Illinois St,1985
4,4,Kansas,Ohio,Kansas,1985
5,5,Kentucky,Washington,Kentucky,1985
6,6,Louisiana Tech,Pittsburgh,Louisiana Tech,1985
7,7,Loyola Chi,Iona,Loyola Chi,1985
8,8,North Carolina,Middle Tenn,North Carolina,1985
9,9,Notre Dame,Oregon St,Notre Dame,1985
10,10,Ohio St,Iowa St,Ohio St,1985
11,11,Oklahoma,NC A&T,Oklahoma,1985
12,12,SMU,Old Dominion,SMU,1985
13,13,St John's,Southern,St John's,1985
14,14,Temple,Virginia Tech,Temple,1985
15,15,UNLV,San Diego St,UNLV,1985
16,16,Alabama,Arizona,Alabama,1985
17,17,Boston College,Texas Tech,Boston College,1985
18,18,Duke,Pepperdine,Duke,1985
19,19,Georgia,Wichita St,Georgia,1985
20,20,Georgia Tech,Mercer,Georgia Tech,1985
21,21,Illinois,Northeastern,Illinois,1985
22,22,Maryland,Miami OH,Maryland,1985
23,23,Memphis,Penn,Memphis,1985
24,24,Michigan,F Dickinson,Michigan,1985
25,25,Navy,LSU,Navy,1985
26,26,NC State,Nevada,NC State,1985
27,27,Syracuse,DePaul,Syracuse,1985
28,28,UAB,Michigan St,UAB,1985
29,29,UTEP,Tulsa,UTEP,1985
30,30,VCU,Marshall,VCU,1985
31,31,Villanova,Dayton,Villanova,1985
32,32,Auburn,Kansas,Auburn,1985
33,33,Georgetown,Temple,Georgetown,1985
34,34,Kentucky,UNLV,Kentucky,1985
35,35,Louisiana Tech,Ohio St,Louisiana Tech,1985
36,36,Loyola Chi,SMU,Loyola Chi,1985
37,37,North Carolina,Notre Dame,North Carolina,1985
38,38,Oklahoma,Illinois St,Oklahoma,1985
39,39,St John's,Arkansas,St John's,1985
40,40,Alabama,VCU,Alabama,1985
41,41,Boston College,Duke,Boston College,1985
42,42,Georgia Tech,Syracuse,Georgia Tech,1985
43,43,Illinois,Georgia,Illinois,1985
44,44,Maryland,Navy,Maryland,1985
45,45,Memphis,UAB,Memphis,1985
46,46,NC State,UTEP,NC State,1985
47,47,Villanova,Michigan,Villanova,1985
48,48,Georgetown,Loyola Chi,Georgetown,1985
49,49,Georgia Tech,Illinois,Georgia Tech,1985
50,50,Memphis,Boston College,Memphis,1985
51,51,Oklahoma,Louisiana Tech,Oklahoma,1985
52,52,NC State,Alabama,NC State,1985
53,53,North Carolina,Auburn,North Carolina,1985
54,54,St John's,Kentucky,St John's,1985
55,55,Villanova,Maryland,Villanova,1985
56,56,Georgetown,Georgia Tech,Georgetown,1985
57,57,Memphis,Oklahoma,Memphis,1985
58,58,St John's,NC State,St John's,1985
59,59,Villanova,North Carolina,Villanova,1985
60,60,Georgetown,St John's,Georgetown,1985
61,61,Villanova,Memphis,Villanova,1985
62,62,Villanova,Georgetown,Villanova,1985
63,63,Bradley,UTEP,Bradley,1986
64,64,DePaul,Virginia,DePaul,1986
65,65,Duke,Miss Valley St,Duke,1986
66,66,Georgetown,Texas Tech,Georgetown,1986
67,67,Georgia Tech,Marist,Georgia Tech,1986
68,68,Kansas,NC A&T,Kansas,1986
69,69,Louisville,Drexel,Louisville,1986
70,70,LSU,Purdue,LSU,1986
71,71,Memphis,Ball St,Memphis,1986
72,72,Michigan St,Washington,Michigan St,1986
73,73,North Carolina,Utah,North Carolina,1986
74,74,Oklahoma,Northeastern,Oklahoma,1986
75,75,Old Dominion,West Virginia,Old Dominion,1986
76,76,Temple,Jacksonville,Temple,1986
77,77,UAB,Missouri,UAB,1986
78,78,Villanova,Virginia Tech,Villanova,1986
79,79,Alabama,Xavier,Alabama,1986
