Year,Team,Stat,Value
2023,Gonzaga,OffEff,1.18
2023,Toledo,OffEff,1.176
2023,Furman,OffEff,1.133
2023,Oral Roberts,OffEff,1.132
2023,Houston,OffEff,1.126
2023,Colgate,OffEff,1.125
2023,Youngstown St,OffEff,1.122
2023,UConn,OffEff,1.119
2023,Miami,OffEff,1.116
2023,Iowa,OffEff,1.115
2023,Marquette,OffEff,1.111
2023,Baylor,OffEff,1.107
2023,Florida Atlantic,OffEff,1.106
2023,Xavier,OffEff,1.104
2023,Arizona,OffEff,1.103
2023,Purdue,OffEff,1.102
2023,Missouri,OffEff,1.101
2023,Stetson,OffEff,1.099
2023,Utah St,OffEff,1.095
2023,Liberty,OffEff,1.093
2023,Charleston,OffEff,1.093
2023,Ohio,OffEff,1.09
2023,Penn St,OffEff,1.09
2023,Detroit Mercy,OffEff,1.088
2023,NC State,OffEff,1.087
2023,Indiana St,OffEff,1.087
2023,Providence,OffEff,1.087
2023,Pittsburgh,OffEff,1.085
2023,Cornell,OffEff,1.085
2023,Virginia Tech,OffEff,1.084
2023,Marshall,OffEff,1.083
2023,Iona,OffEff,1.082
2023,Kentucky,OffEff,1.082
2023,New Mexico,OffEff,1.081
2023,Alabama,OffEff,1.081
2023,E Washington,OffEff,1.08
2023,Duke,OffEff,1.079
2023,Samford,OffEff,1.078
2023,UAB,OffEff,1.078
2023,Creighton,OffEff,1.078
2023,UCLA,OffEff,1.078
2023,Saint Mary's,OffEff,1.078
2023,Texas,OffEff,1.077
2023,UMass Lowell,OffEff,1.075
2023,Texas A&M-CC,OffEff,1.073
2023,Clemson,OffEff,1.072
2023,Vermont,OffEff,1.072
2023,Hofstra,OffEff,1.072
2023,Ball St,OffEff,1.072
2023,Indiana,OffEff,1.071
2023,Akron,OffEff,1.071
2023,Belmont,OffEff,1.071
2023,Cincinnati,OffEff,1.07
2023,St Thomas,OffEff,1.069
2023,Louisiana,OffEff,1.068
2023,West Virginia,OffEff,1.068
2023,Chattanooga,OffEff,1.067
2023,Ohio St,OffEff,1.067
2023,F Dickinson,OffEff,1.067
2023,Maryland,OffEff,1.066
2023,Yale,OffEff,1.066
2023,UCSB,OffEff,1.065
2023,Wake Forest,OffEff,1.065
2023,Wofford,OffEff,1.063
2023,Texas A&M,OffEff,1.061
2023,Memphis,OffEff,1.06
2023,San Diego,OffEff,1.059
2023,Virginia,OffEff,1.058
2023,Montana,OffEff,1.058
2023,Drake,OffEff,1.057
2023,UMBC,OffEff,1.057
2023,Norfolk St,OffEff,1.057
2023,North Carolina,OffEff,1.055
2023,Princeton,OffEff,1.055
2023,Queens,OffEff,1.055
2023,Kent St,OffEff,1.055
2023,Duquesne,OffEff,1.054
2023,Grand Canyon,OffEff,1.054
2023,Winthrop,OffEff,1.054
2023,Portland,OffEff,1.054
2023,G Washington,OffEff,1.054
2023,Towson,OffEff,1.053
2023,Santa Clara,OffEff,1.053
2023,NW State,OffEff,1.053
2023,Saint Louis,OffEff,1.052
2023,San Francisco,OffEff,1.051
2023,Charlotte,OffEff,1.051
2023,Dayton,OffEff,1.05
2023,Penn,OffEff,1.05
2023,Tennessee,OffEff,1.049
2023,N Florida,OffEff,1.049
2023,Vanderbilt,OffEff,1.048
2023,N Texas,OffEff,1.048
2023,Syracuse,OffEff,1.047
2023,Kansas,OffEff,1.046
2023,Michigan,OffEff,1.046
2023,Wright St,OffEff,1.044
2023,Colorado St,OffEff,1.044
2023,Stanford,OffEff,1.044
